,polx_1,polx_2,polx_3,polx_4,polx_5,polx_6,polx_7,polx_8,poly_1,poly_2,poly_3,poly_4,poly_5,poly_6,poly_7,poly_8,polz_1,polz_2,polz_3,polz_4
poly_3,1.8090878756215684e-05,2.8179132419612245e-05,2.5464230095621434e-06,-2.9325463058323336e-06,-1.9509023310298355e-05,-2.960259360358609e-05,1.0513999852975744e-05,-7.286267038988493e-06,-2.4206978748748072e-05,8.14682823594831e-06,3.3542100347551176e-05,-6.922992274934749e-06,-1.5975981158329008e-06,-7.804823735462523e-06,2.6172516319920635e-05,-2.7329084953677806e-05,-3.2816234967651424e-06,-3.0857284888497456e-05,5.3926239750067814e-06,2.8746254114677968e-05
poly_4,8.603966187611104e-05,8.907485388987734e-06,-1.4756375729627623e-05,-1.4850861054021368e-06,-1.833375614749354e-05,-1.081419496235865e-05,-2.9216346021281116e-05,-2.0341445004424837e-05,4.821499777049832e-06,-1.987868176840337e-05,-6.922992274934749e-06,3.2531370503682046e-05,1.6127063067715316e-05,1.1525509157368382e-05,-1.637317361293217e-05,-2.1830380266288597e-05,3.183708692289747e-05,1.5961854458555812e-05,-1.1065562743250776e-05,-3.673353278225816e-05
poly_5,6.672774757027887e-05,-1.0004686533916064e-05,-1.9705603211690906e-05,-5.972163071618967e-07,-1.5769673293443474e-05,-1.6611258825181472e-05,-1.7114241714646263e-05,1.3074895772783457e-05,-1.556396008669972e-05,-1.791368751901913e-05,-1.5975981158329008e-06,1.6127063067715316e-05,3.7791483877025705e-05,1.0241572147252377e-05,-1.2073526693118848e-05,-1.7011170686931383e-05,3.767692286105628e-05,-2.8979090972302494e-05,2.687285687379559e-05,-3.557074790270702e-05
poly_6,4.7908340497283746e-05,2.9819933229892083e-05,-5.661716107643699e-06,1.4554314494040473e-05,-5.125640576865248e-06,-9.888113153931663e-06,-4.103381997430978e-05,-3.057329731898289e-05,1.3846485674335834e-05,-2.8740474721683773e-05,-7.804823735462523e-06,1.1525509157368382e-05,1.0241572147252377e-05,3.048950628888662e-05,-5.373756877720525e-06,-2.4183854991171404e-05,5.748129608755003e-05,-4.2853086188958414e-05,-8.406596827938903e-06,-6.221739222780675e-06
poly_7,8.844545690249862e-07,5.723576037495908e-05,2.136748530051457e-05,4.282312666507274e-05,-8.676646191649518e-05,-5.546606517094782e-05,2.975329144672941e-05,-9.831582520453973e-06,-3.453367678225751e-05,-1.700755955923793e-05,2.6172516319920635e-05,-1.637317361293217e-05,-1.2073526693118848e-05,-5.373756877720525e-06,0.00011616560591920078,-5.6976281279862755e-05,9.069636054088399e-06,-0.0001349108347669194,7.725149847088411e-05,4.858955741141053e-05
poly_8,-0.00012127503547506152,-8.826952792807496e-05,9.436433569439034e-06,-3.4252237495800936e-05,8.406156283206144e-05,6.574163255394718e-05,3.837730849885219e-05,4.617990158976632e-05,1.2675232958509211e-05,2.755343714858146e-05,-2.7329084953677806e-05,-2.1830380266288597e-05,-1.7011170686931383e-05,-2.4183854991171404e-05,-5.6976281279862755e-05,0.00010710175699303659,-8.58797591731029e-05,0.00011884495077948127,-2.111211204945508e-05,-1.1852660190248485e-05
polz_1,0.0001371591789358456,5.533339683296165e-05,-3.225747003761425e-05,3.6103454389210845e-05,-3.536098284759687e-05,-2.5433498860516866e-05,-9.811534506309368e-05,-3.7429042257415554e-05,2.7710064772268052e-05,-7.46125721286945e-05,-3.2816234967651424e-06,3.183708692289747e-05,3.767692286105628e-05,5.748129608755003e-05,9.069636054088399e-06,-8.58797591731029e-05,0.0002664004491674301,-0.0001133479407482359,-3.363594193774233e-06,-0.0001496900411503069
polz_2,-6.0142810032408236e-05,-0.00011874981982176824,-3.327174937322974e-05,-0.00010702849488613685,0.00012356348610255324,0.00010660323052048181,4.751570078733176e-05,4.151054274358768e-05,4.9145585347840136e-05,5.364723903859961e-05,-3.0857284888497456e-05,1.5961854458555812e-05,-2.8979090972302494e-05,-4.2853086188958414e-05,-0.0001349108347669194,0.00011884495077948127,-0.0001133479407482359,0.0004228348369869644,-0.00016180240285410032,-0.00014768423432726292
polz_3,-2.0140287275104848e-05,-4.17778693914802e-05,-1.8172130393775216e-05,4.780042008798105e-05,-7.077000568312803e-05,-4.6304713737269044e-05,6.623797793308433e-05,8.312680470524247e-05,-4.761018384309557e-05,-2.1322408353108848e-05,5.3926239750067814e-06,-1.1065562743250776e-05,2.687285687379559e-05,-8.406596827938903e-06,7.725149847088411e-05,-2.111211204945508e-05,-3.363594193774233e-06,-0.00016180240285410032,0.00019540381246669876,-3.0237642652891103e-05
polz_4,-5.6876721638843234e-05,0.00010519405441028156,8.370138629852179e-05,2.3124541086179542e-05,-1.7432179525969904e-05,-3.4864995186534604e-05,-1.563795359533336e-05,-8.720810520247927e-05,-2.924573516337824e-05,4.2288103485905764e-05,2.8746254114677968e-05,-3.673353278225816e-05,-3.557074790270702e-05,-6.221739222780675e-06,4.858955741141053e-05,-1.1852660190248485e-05,-0.0001496900411503069,-0.00014768423432726292,-3.0237642652891103e-05,0.00032761261330836467
