,polx_1,polx_2,polx_3,polx_4,polx_5,polx_6,polx_7,polx_8,poly_1,poly_2,poly_3,poly_4,poly_5,poly_6,poly_7,poly_8,polz_1,polz_2,polz_3,polz_4
poly_3,4.7787605551935996e-05,3.582621494975137e-06,-8.93577208471019e-06,-2.0391933567024516e-05,1.4754879876145721e-05,-2.2580992874719928e-05,-1.1025456111078489e-06,-1.3113819193021744e-05,-1.2067974190832164e-06,-2.9661737905303676e-05,2.55057469412616e-05,4.629966384497874e-06,1.3328734884561275e-05,2.26056143468425e-06,-1.040509700051756e-05,-4.451424544213659e-06,1.15569598100544e-05,2.1448558434857095e-06,-1.7991201799393017e-05,4.289347663227981e-06
poly_4,9.205135910422187e-05,6.076519166627629e-05,-1.0250733306477144e-05,-1.1745394633746554e-06,-3.409239772985805e-05,-5.634604846417826e-05,-3.51860629173826e-05,-1.5766817472912988e-05,-9.22953506536805e-06,-4.2672267834804296e-05,4.629966384497874e-06,4.2702141439637155e-05,3.0924845359599715e-05,-2.1102325358415335e-05,2.4454603546413832e-05,-2.9707257759597346e-05,3.140340325800112e-05,-1.274650207986057e-05,-3.7658223033041277e-06,-1.4890716812430577e-05
poly_5,0.00011036535190437961,1.705001814453646e-05,-2.3217114882911687e-05,-1.6080878483601637e-05,-4.157152225634478e-06,-5.609236220893631e-05,-3.353770436950306e-05,5.669726194162432e-06,-2.082872591604948e-06,-8.380346024914032e-05,1.3328734884561275e-05,3.0924845359599715e-05,6.017216660235815e-05,-1.6065531228937748e-05,3.4211921745845986e-06,-5.894850376513611e-06,3.720565775780223e-05,-3.607548482777516e-06,8.75348642053388e-06,-4.235134257424265e-05
poly_6,-4.010141925111733e-05,-2.2363195490716713e-05,1.9002141653876416e-05,-1.731036555267069e-05,3.000682732070816e-05,3.288443573257908e-05,7.117649189166711e-06,-9.23606844220186e-06,7.582005803138562e-06,1.0861370289220047e-05,2.26056143468425e-06,-2.1102325358415335e-05,-1.6065531228937748e-05,3.357070525974439e-05,-3.646995686245082e-05,1.9362979053828354e-05,-8.194444890824369e-06,1.8740253372048325e-05,-2.6844149660229473e-05,1.6298034504947448e-05
poly_7,4.7865086151097896e-05,0.0001222491612996419,-3.370893789710821e-05,6.594680112158386e-05,-8.747744224474391e-05,-8.63889791481467e-05,-9.521979060532255e-06,-1.896358976609906e-05,-2.0750136297250148e-05,-3.148588203516982e-05,-1.040509700051756e-05,2.4454603546413832e-05,3.4211921745845986e-06,-3.646995686245082e-05,0.00017964560076429175,-0.00010840990663995354,3.947372852369708e-05,-0.00015807794054104962,5.548449251201836e-05,6.31204228656675e-05
poly_8,-9.250257652655546e-05,-0.00010585800339539615,3.068325024832129e-05,-4.095957545147122e-05,7.720908197507426e-05,8.545825123420039e-05,1.743139353742083e-05,2.8538049017368198e-05,2.237401317349183e-05,-2.841221686797323e-05,-4.451424544213659e-06,-2.9707257759597346e-05,-5.894850376513611e-06,1.9362979053828354e-05,-0.00010840990663995354,0.0001351386334304659,1.277992283532436e-06,8.216305103072388e-05,-8.692275345456561e-06,-7.474887254316113e-05
polz_1,9.612573127729007e-06,9.613036717518299e-05,3.0817576449037375e-06,-1.1509135705505873e-05,9.75513485880694e-07,-5.454557877010818e-05,-5.072108999812029e-05,6.975668517891981e-06,3.151096729367887e-05,-0.0001442338565977721,1.15569598100544e-05,3.140340325800112e-05,3.720565775780223e-05,-8.194444890824369e-06,3.947372852369708e-05,1.277992283532436e-06,0.00019597904089120187,-7.850700555039921e-05,-2.404467469789732e-05,-9.342634638320072e-05
polz_2,1.5132173025231458e-05,-0.00015331025632061795,-2.3638303630689953e-06,-0.00012114527825605849,7.129873616379412e-05,0.00010391215592871873,4.5747049796041606e-05,4.0728978435383096e-05,2.9905941388416767e-05,4.147733063025248e-05,2.1448558434857095e-06,-1.274650207986057e-05,-3.607548482777516e-06,1.8740253372048325e-05,-0.00015807794054104962,8.216305103072388e-05,-7.850700555039921e-05,0.0003878011435615102,-0.0001641441058617975,-0.000145150464636037
polz_3,-5.264491395372666e-05,-6.790776525225542e-05,-7.068005871461789e-05,8.567042374309291e-05,-1.2035043720371088e-05,-1.9201141547014792e-05,5.282240746951495e-05,8.397589756044576e-05,-3.245296601452816e-05,2.5508634657996835e-05,-1.7991201799393017e-05,-3.7658223033041277e-06,8.75348642053388e-06,-2.6844149660229473e-05,5.548449251201836e-05,-8.692275345456561e-06,-2.404467469789732e-05,-0.0001641441058617975,0.0002572771214090848,-6.908876926384407e-05
polz_4,2.7900663660050615e-05,0.00012508859087659394,6.996254347681222e-05,4.698397486911512e-05,-6.023979389670241e-05,-3.0165819688847054e-05,-4.784898138665564e-05,-0.00013168078738078014,-2.896360179931634e-05,7.72466816666469e-05,4.289347663227981e-06,-1.4890716812430577e-05,-4.235134257424265e-05,1.6298034504947448e-05,6.31204228656675e-05,-7.474887254316113e-05,-9.342634638320072e-05,-0.000145150464636037,-6.908876926384407e-05,0.0003076654270405722
